S/n,Organisation Name,Mailing Address,Latitude,Longitude,Phone Number,Fax Number,Email Address
184,Good News Community Services,1 Francis Thomas Drive #02-17 Diocesan Centre Building Singapore 359340,1.329609,103.865741,62897611,62890312,goodnews@goodnews.org.sg
185,Grace Lodge,105 Punggol Road Singapore 546636,1.3797458,103.8966595,64898161,63877887,sbws@sbws.org.sg
186,GUIDE DOGS SINGAPORE LTD.,20 SIN MING LANE #02-53 MIDVIEW CITY Singapore 573968,1.3590081,103.8339108,63397900,,admin@guidedogs.org.sg
187,Habitat For Humanity Singapore Ltd,56 Lorong 23 Geylang #05-00 Century Technology Building Singapore 388381,1.3158699,103.8814532,67447326,68445383,info@habitat.org.sg
188,Haemophilia Society Of Singapore,704 Bedok Reservoir Road #01-3622 Singapore 470704,1.3365333,103.9203354,81635141,64490523,Haemophilia.sg@gmail.com
189,Halogen Foundation (Singapore),336 SMITH STREET #07-303 NEW BRIDGE CENTRE Singapore 050336,1.2829051,103.8427374,65096700,65096770,enquiry@halogen.sg
190,Handicaps Welfare Association,16 Whampoa Drive Singapore 327725,1.321931,103.8535764,62543006,62537375,hwa@hwa.org.sg
191,HCA Hospice Care,"705 Serangoon Road #03-01 Block A, Kwong Wai Shiu Hospital Singapore 328127",1.317285,103.8593269,62512561,62911076,contactus@hcahospicecare.org.sg
192,HCSA Community Services,1 Lorong 23 Geylang Singapore 388352,1.3137492,103.8806891,63260477,63260479,enquiry@hcsa.org.sg
193,Healthserve Ltd,1 Lorong 23 Geylang #01-07 Singapore 388352,1.3137492,103.8806891,67439774,67436174,info@healthserve.org.sg
194,Healthy Aging Association (Singapore),60 Paya Lebar Road #04-22 Paya Lebar Square Singapore 409051,1.3191725,103.8925563,63860616,62561180,liza_lim@haasg.com
195,Heartware Network,568 GANGES AVENUE #02-100 Singapore 160568,1.2900397,103.8309231,65094414,65094044,admin@heartware-network.org
196,HEB - ASHRAM HALFWAY HOUSE,30 Durban Road Singapore 759642,1.4532746,103.8297548,67539730,67533727,enquiries@hebashram.org.sg
197,HELP Family Service Centre,570 Ang Mo Kio Avenue 3 #01-3317 Singapore 560570,1.3698332,103.8558859,64575188,64575343,seow_beng@yahoo.com
198,"Helping Hand, The",819 Upper Serangoon Road Singapore 534678,1.3578533,103.8816264,62832204,62833748,richardkhalil@thehelphand.org
199,Home Nursing Foundation,93 Toa Payoh Central #07-01 Singapore 319194,1.334896,103.8504372,68545555,62555774,enquiry@hnf.org.sg
200,Hope Centre (Singapore),806 KING GEORGES AVENUE #03-222 NIL Singapore 200806,1.308471,103.861059,69095244,,office@hopecentre.org.sg
201,Hope Community Services Centre,623 Toa Payoh Lorong 4 Singapore 319518,1.3331516,103.8534189,63539265,63580262,enquiry@hopecsc.org
202,HOPE Worldwide (Singapore),1 Edgefield Walk Singapore 828850,1.400986,103.9096223,63129671,63438463,enquiries@hopewwsea.org
203,HUG COMMUNITY SERVICES LIMITED,200 TOA PAYOH NORTH #01-1033 TOA PAYOH SPRING Singapore 310200,1.3420697,103.8491886,62532004,,grace.yeo@hug.org.sg
204,Humanitarian Organization for Migration Economics,304 Orchard Road #06-22 Lucky Plaza Singapore 238863,1.3045795,103.8340621,63338384,63361505,contact@home.org.sg
205,I Love Children,323B Sengkang East Way #01-555 Singapore 542323,1.3920612,103.8927856,63859668,63859667,enquiry@ilovechildren.org
206,IC@RE HUB LTD.,461 Crawford Lane #17-75 Singapore 190461,1.3048317,103.8608858,62502393,,gracewyw@icarehub.org.sg
207,IC2 Prephouse Limited,1 Jurong West Central 2 #04-02 Jurong Point Shopping Centre Singapore 648886,1.3397443,103.7067297,67901802,67901806,admin@ic2.com.sg
208,IMAGE MISSION LTD.,6 UBI ROAD 1 #04-11 WINTECH CENTRE Singapore 408726,1.3264365,103.8935834,67476510,,admin@imagemission.org
209,Industrial and Services Co-operative Society Limited,237 ALEXANDRA ROAD #04-19 THE ALEXCIER Singapore 159929,1.2913077,103.8138103,67437885,63382042,admin@iscos.org.sg
210,Infant Jesus Homes And Children's Centres,503 Ang Mo Kio Street 13 Singapore 569406,1.3748612,103.8338533,64594801,,ijvillage@ijhcc.org
211,Inmates' Families Support Fund,407 Upper Changi Road North Singapore Prison Service HQ Singapore 507658,1.369035,103.981058,65469391,65462459,tan_jun_siang@pris.gov.sg
213,Inner Wheel Club Of Singapore East,101 Ang Mo Kio Ave 3 #02-1409 Singapore 560101,1.3702489,103.8394238,,,
214,Inner Wheel Club Of Singapore West,2 Clifton Vale Singapore 359662,1.3457991,103.863678,98568279,,
215,"International Y's Men's Club of Singapore (Alpha Chapter), The",1 Orchard Road c/o YMCA Of Singapore Singapore 238824,1.2976866,103.8479628,63366000,63368003,
216,"Jewish Welfare Board, Singapore, The",24 Waterloo Street Jacob Ballas Centre Singapore 187950,1.2980842,103.8506057,63372189,63362127,julia.han@jwb.org.sg
217,Jia Ying Community Services Society,1 & 3 Valley Road Glad Tidings Church Singapore 534449,1.3620542,103.8876207,62815025,62887456,enquiries@jiaying.org
218,Joyful Charity,336 Smith Street #05-303 Singapore 050336,1.2828136,103.8426668,96376541,,joyfulcharity@yahoo.com.sg
219,Ju Eng Home for Senior Citizens,205 Jalan Kayu Singapore 799436,1.3945593,103.8724447,64846890,64846892,juenghome@jeh.org.sg
220,Junior Chamber Of Singapore,112 Middle Road #04-01 Midland House Singapore 188970,1.2990011,103.8536822,63374307,63396143,info@jcisingapore.cc
221,"The Kamala Club, Singapore",Tanglin P.O. Box 200 Singapore 912407,1.306932,103.8188845,63459014,63459014,
222,KAMPONG KAPOR COMMUNITY SERVICES,2 Kitchener Road #03-89 Singapore 200002,1.3079089,103.8591716,62997662,62942116,admin@kkcs.org.sg
223,Kampung Senang Charity and Education Foundation,106 Aljunied Crescent #01-205 Singapore 380106,1.319083,103.88276,6749 8509,6844 5815,email@kampungsenang.org
224,Kang Ming Free Clinic,122 Teck Whye Lane #01-836 Singapore 680122,1.3786715,103.7494368,67607405,67642353,
225,Kheng Chiu Loke Tin Kee Home,70 Tampines Avenue 4 Kheng Chiu Happy Lodge Singapore 529681,1.3563464,103.9466896,67897889,67897811,khengchiuhappylodge@gmail.com
226,Kidney Dialysis Foundation Limited,333 Kreta Ayer Road #03-33 Singapore 080333,1.2805458,103.8425682,65592630,62250080,enquiries@kdf.org.sg
227,Kwan-In Welfare Society,34 Jalan Eunos Singapore 419496,1.3202838,103.9054497,67434228,67465048,admin@kwaninwelfare.org.sg
228,Kwong Wai Shiu Hospital,705 Serangoon Road Kwong Wai Shiu Hospital Singapore 328127,1.317285,103.8593269,64221200,62992406,community_services@kwsh.org.sg
229,Lakeside Family Services,516 Jurong West St 52 #01-73 Singapore 640516,1.345444,103.7201709,65671908,65656435,lfsjw@lakeside.org.sg
230,LAW SOCIETY PRO BONO SERVICES,1 HAVELOCK SQUARE #B1-18 State Courts Singapore 059724,1.2863639,103.8432753,65360650,,hr@lawsocprobono.org
231,Lawn Bowls Association for the Disabled (Singapore),3 Stadium Drive #01-34 c/o SDSC Singapore 397630,1.3041354,103.8742168,91597804,,hello@parabowlsingapore.org
232,Leap Foundation Ltd,170 Upper Bukit Timah Road #13-04 Bukit Timah Shopping Center Singapore 588179,1.3433626,103.7759097,64624222,64624111,ian@leapintl.com
233,Lee Foundation,65 Chulia Street #44-01 OCBC Centre Singapore 049513,1.285453,103.8491635,65354055,65337341,
234,Lejia Society,79 Robinson Road #23-05 CPF Building Singapore 068897,1.2774466,103.8480508,64213501,62247909,lcs.tlp@tanleepartners.com.sg
235,Lembaga Biasiswa Kenangan Maulud (Prophet Muhammad 's Birthday Memorial Scholarship Fund Board),448 Changi Road #04-01 Wisma Indah Singapore 419975,1.318727,103.912188,64474770,64474469,enquiries@lbkm.org.sg
236,Leukemia and Lymphoma Foundation,10 Sinaran Drive #10-20 Square 2 Novena Medical Centre Singapore 307506,1.32079,103.844202,63972394,63976629,service@llf.org.sg
237,Life Community Services Society,5 Stadium Walk #04-04 Kallang Leisure Park Singapore 397693,1.3022222,103.8763889,63873700,63873768,lcss@life-community.org
238,Light and Love Charity,21 Bukit Batok Crescent #13-75 Wcega Tower Singapore 658065,1.337038,103.7599012,62916724,62916724,llc-sg@lightandlovehome.org
239,Limitless (Ltd.),"2 Orchard Link #04-01 SCAPE, Hubquarters Singapore 237978",1.3010294,103.8357316,92303315,,hello@limitless.sg
240,Ling Kwang Home for Senior Citizens,156 Serangoon Garden Way Singapore 556055,1.367146,103.8615629,62875466,62843567,general@lkhsc.org.sg
241,"Lioness Club Of Singapore, The",153 Chun Tin Road Singapore 599704,1.3446906,103.7712916,96728326,,secretariat@lionsclubs.org.sg
242,Lions Befrienders Service Association (Singapore),130 Bukit Merah View #01-358 Singapore 150130,1.2848284,103.8244801,63758600,62731500,contact@lb.org.sg
243,Lions Club Of Singapore Jurong,243 Simei Street 5 #09-12 Singapore 520243,1.3438144,103.9551203,,,
244,Lions Club Of Singapore North,10 Anson Road #13-02 International Plaza Singapore 079903,1.2756998,103.8458098,62210991,62214173,
245,Lions Club Of Singapore Raffles City,2 Kallang Avenue #09-28 CT Hub Singapore 339407,1.3123049,103.8630306,96279602,,
246,Lions Club Of Singapore Serangoon Gardens,32 Kovan Road #04-04 Kovan Apt Singapore 548102,1.357135,103.8796457,,,
247,Lions Club Of Singapore Tanah Merah,712 Tampines Street 71 #08-150 Singapore 520712,1.3590539,103.9371036,,,
248,Lions Club Of Singapore Tanglin,111 North Bridge Road #07-27 Peninsula Plaza Singapore 179098,1.2923407,103.8508826,,,
249,Lions Community Service Foundation (Singapore),465 North Bridge Road #02-5051 Singapore 191465,1.305253,103.8630664,62912736,62441682,enquiries@lcsf.org.sg
250,Lions Home For The Elders,9 Bishan Street 13 Singapore 579804,1.3494025,103.8535998,62529900,63535725,lhe.pr@lionshome.org.sg
251,Lotus Light Charity Society (Singapore),403 Ang Mo Kio Avenue 10 #01-637 Singapore 560403,1.3613694,103.8545514,64513318,64514898,admin@llcs-sg.org
252,"LOVE, NILS LTD",19 TAMAN SERASI #03-23 BOTANIC GARDENS VIEW Singapore 257723,1.3087134,103.8190799,9768 4076,,
253,Loving Heart Multi-Service Centre,210 Jurong East St 21 #01-389 Singapore 600210,1.3388218,103.7386464,68974766,68975845,lhmsc@lovingheart.org.sg
254,Loving Heart Multi-Service Centre (Jurong),316 Jurong East Street 32 #01-279 Singapore 600316,1.3461111,103.7320391,65674166,65697957,lhmscj@lovingheartj.org
255,Lutheran Community Care Services Limited,3779 JALAN BUKIT MERAH #02-01 BUKIT MERAH COMMUNITY HUB Singapore 159462,1.2844073,103.8157049,64413906,64463906,admin@lccs.org.sg
256,Majlis Pusat Singapura,93 Toa Payoh Central #06-01 Toa Payoh Central Community Building Singapore 319194,1.334916,103.8503639,62514458,62514481,adminsupport@majlispusatsg.org
257,Make-A-Wish Foundation (Singapore) Limited,1 Coleman Street #04-18 The Adelphi Singapore 179803,1.2911845,103.8512167,63349474,63344750,info@makeawish.org.sg
258,MAMRE OAKS LIMITED,"490 EAST COAST ROAD SAINT PATRICKS SCHOOL, BROTHERS RESIDENCE Singapore 429058",1.308219,103.9170364,69787800,,admin@mamreoaks.sg
259,Man Fut Tong Nursing Home,20 Woodlands Street 82 Singapore 738507,1.4434732,103.7905526,31571151,63686303,mft@mft.org.sg
260,Man Fut Tong Welfare Society,141 Lorong Ah Soo #01-283 Singapore 530141,1.3531456,103.8840887,62888096,62888096,manfuttong@gmail.com
261,Marine Parade Leadership Foundation,1 ENGKU AMAN TURN #03-02 WISMA GEYLANG SERAI Singapore 408528,1.3164938,103.8965689,6432 1300,6432 1355,Chiang_Wei_Hong@pa.gov.sg
262,Marymount Centre,9 Lorong 8 Toa Payoh Good Shepherd Place Singapore 319253,1.3403772,103.8570182,62564440,62517763,ags_admin@marymountctr.org.sg
263,Mercy Relief Limited,160 LORONG 1 TOA PAYOH #01-1568 Singapore 310160,1.330896,103.845126,63326320,63339800,intouch@mercyrelief.org
264,Methodist Welfare Services,70 Barker Road #05-01 Singapore 309936,1.3187568,103.8340093,64784700,64784701,admin@mws.sg
265,Metropolitan Young Men's Christian Association Of Singapore,60 Stevens Road Singapore 257854,1.3164696,103.8266074,68398333,67372297,info@mymca.org.sg
266,Metta Welfare Association,32 Simei Street 1 Metta Building Singapore 529950,1.34658,103.956941,65804688,65804699,mwa@metta.org.sg
267,Migrant Workers' Assistance Fund,579 Serangoon Road Singapore 218352,1.3157399,103.858401,,,
268,MILK (Mainly I Love Kids) Fund,1 Lor 2 Toa Payoh #07-00 Braddell House Singapore 319637,1.3402155,103.847321,62224123,,info@milk.org.sg
269,Montfort Care,53 Marine Terrace #01-215 Singapore 440053,1.3051731,103.9163476,6446 0300,6446 0100,getinvolved@montfortcare.org.sg
270,MORAL HOME FOR THE AGED SICK LIMITED,No. 1 Jalan Bilal Singapore 468854,1.3218152,103.9542817,6442 2268,6443 6445,winnie@chkmps.org.sg
271,MORNING STAR COMMUNITY SERVICES LTD.,25 Lorong 33 Geylang #04-01 Pu Tian Building Singapore 387985,1.3152814,103.8876671,62851377,62852702,mscs@morningstar.org.sg
272,MOUNT ALVERNIA HOSPITAL,820 Thomson Road Mount Alvernia Hospital Singapore 574623,1.3419568,103.8380034,63476688,,enquiry@mtalvernia.sg
273,Movement for the Intellectually Disabled of Singapore (MINDS),800 Margaret Drive SIA-MINDS Employment Dev Centre Singapore 149310,1.2951625,103.8132109,64795655,64790706,minds@minds.org.sg
274,Muhammadiyah Welfare Home,58 Bedok North Street 3 Singapore 469624,1.3347458,103.9320729,6344 7551,6348 2661,mwh@muhammadiyah.org.sg
275,Muscular Dystrophy Association (Singapore),9 Bishan Place #06-04 Junction 8 (Office Tower) Singapore 579837,1.3506808,103.8487631,62596933,62596911,careers@mdas.org.sg
276,MUSICAL THEATRE LTD.,20 Shaw Road #05-05 Ching Shine Industrial Building Singapore 367956,1.3365545,103.8843015,86090625,,mtl.manager@gmail.com
277,Muslim Kidney Action Association (MKAC Association),122 Telok Kurau Road Singapore 423806,1.31452,103.9097473,64407390,64407386,info@mkac.sg
278,"Muslim Missionary Society, Singapore, The",31 Lorong 12 Geylang Singapore 399006,1.3104312,103.8788298,67431211,67450610,info@jamiyah.org.sg
279,MUSLIMIN TRUST FUND ASSOCIATION,5 Mattar Road Singapore 387713,1.3257796,103.8815498,67477556,67411609,adminmtfa@mtfa.org
280,My Community,46-3 COMMONWEALTH DRIVE #01-388 Singapore 140463,1.2996926,103.7980353,88295138,,
281,Nam Hong Welfare Service Society,111 Yishun Ring Road #01-375 Singapore 760111,1.4332366,103.8285461,62579192,67560637,namhongcares@gmail.com
282,Nanyang Technological University Welfare Services Club,NS3 50 Nanyang Avenue #01-03 Academic Complex North Singapore 639798,1.3473583,103.6810688,67905153,67918014,
283,National Arthritis Foundation,100 LORONG 23 GEYLANG #01-01 D'CENTENNIAL Singapore 388398,1.3177621,103.8812289,62279726,62700147,info@naf.org.sg
284,NATIONAL GALLERY SINGAPORE,1 St. Andrew's Road #01-01 National Gallery Singapore Singapore 178957,1.2902217,103.8515167,66909401,66909404,info@nationalgallery.sg
285,National Healthcare Group Fund,3 Fusionopolis Link #03-08 Nexus @One-North Singapore 138543,1.2987064,103.7898168,,,
286,"National Safety Council of Singapore, The",122 Telok Kurau Road Singapore 423806,1.31452,103.9097473,64407390,62237568,safety@nscs.org.sg
287,National University Of Singapore Students' Union,"31 Lower Kent Ridge Road, NUSSU Secretariat #05-01 Yusof Ishak House Singapore 119078",1.2985489,103.77496,66011345,67771874,ask@nussu.org.sg
288,NATIONAL VOLUNTEER AND PHILANTHROPY CENTRE,6 Eu Tong Sen Street #04-88 The Central Singapore 059817,1.2890252,103.8466098,65509595,62210625,jonathantan@nvpc.org.sg
289,Neighbour Ring Community Services,8 JOO SENG ROAD #01-08 JOO SENG GREEN Singapore 360008,1.335219,103.878805,64876301,,nrcs2003@gmail.com
290,"Netherlands Charity Association, The",c/o 22 Camden Park Singapore 299814,1.3298023,103.8164134,64671703,,finance@nca.org.sg
291,"New Charis Mission, The","11 Jalan Ubi, Block 1 #01-01 Kembangan-Chai Chee Comm Hub Singapore 409074",1.3173014,103.8997545,64833707,64833658,office@tncm.org.sg
292,New Hope Community Services,148 Yishun Street 11 #01-123 Singapore 760148,1.4319165,103.8323869,63059620,67553684,admin@newhopecs.org.sg
293,New Life Community Services,6 WOODLANDS SQUARE #03-01 WOODS SQUARE TOWER 2 Singapore 737737,1.4347621,103.7857558,68927191,68927181,email@newlife.org.sg
294,New Life Stories Limited,1 LORONG 2 TOA PAYOH #7-00 BRADDELL HOUSE Singapore 319637,1.3402155,103.847321,63867688,,hello@newlifestories.org.sg
295,New Redeemer's Fellowship Society,116 Changi Road #02-01 WIS@CHANGI Singapore 419718,1.3165957,103.9012094,63482610,,newredeemerfellowship@gmail.com
296,NTUC HEALTH CO-OPERATIVE LTD,55 Ubi Avenue 1 #08-01 Singapore 408935,1.3250554,103.8954529,65904300,65904389,joan.tay@ntuchealth.sg
297,NTUC-U Care Fund,1 Marina Boulevard #10-01 NTUC Centre Singapore 018989,1.2823043,103.8525645,62138000,63278855,csd@ntuc.org.sg
298,NUHS Fund Limited,"1E Kent Ridge Road, Development Ofc #13-00 NUHS Tower Block Singapore 119228",1.2922222,103.7836111,67723984,67750394,nuhsfund@nuhs.edu.sg
299,NuLife Care & Counselling Services Limited,153A SERANGOON NORTH AVENUE 1 #02-456 NIL Singapore 551153,1.3696622,103.8718926,63008706,,ccs@nulife.com.sg
300,Octava Foundation Limited,8 TEMASEK BOULEVARD #38-01 SUNTEC TOWER THREE Singapore 038988,1.2953148,103.8594994,63852021,,info@octavafoundation.com
301,Odyssey Dance Theatre Ltd,28 Aliwal Street #03-08 Aliwal Arts Centre Singapore 199918,1.3025906,103.8611415,,,
302,Oikos.Community@Sengkang Ltd,31 Anchorvale Road Sengkang Methodist Church Singapore 545056,1.3920841,103.886485,63860626,63856191,rachelsng@oikos.org.sg
303,O'Joy Care Services,5 Upper Boon Keng Road #02-10 Singapore 380005,1.3126741,103.8725969,67490190,67421909,admin@ojoy.org
304,O'Joy Limited,5 Upper Boon Keng Rd #02-10 Singapore 380005,1.3126741,103.8725969,67490190,67421909,admin@ojoy.org
305,One Hope Centre,8 New Industrial Road #04-04B LHK 3 Building Singapore 536200,1.3418575,103.8852895,62860152,,help@onehopecentre.org
306,OnePeople.sg,381 Toa Payoh Lorong 1 Singapore 319758,1.3403339,103.845221,62594116,62591141,enquiry@onepeople.sg
307,Operation Renewal (Singapore),14 Jalan Dinding Singapore 739831,1.4158275,103.7577457,62880708,62881358,admin@oprenewal.org.sg
308,Parkinson Society Singapore,191 Bishan Street 13 #01-415 Singapore 570191,1.3504111,103.8511785,63535338,63533085,info@parkinson.org.sg
309,Pasir Panjang Hill Community Services Centre,44 Teban Gardens Road #01-407 Singapore 600044,1.3208104,103.7415654,65665603,65666851,community@pphcsc.org
310,PAVE,211 Ang Mo Kio Ave 3 #01-1446 Singapore 560211,1.3692104,103.8415977,65550390,65525290,admin@pave.org.sg
311,Persatuan Pemudi Islam Singapura (PPIS),1 Eunos Crescent #01-2509 Singapore 400001,1.3208323,103.9024815,67440258,67481417,info@ppis.sg
312,Persatuan Persuratan Pemuda Pemudi Melayu (Malay Youth Literary Association),606 Bedok Reservoir Road #01-716 Singapore 470606,1.331668,103.91381,62426381,62420610,secretariat@4pm.org.sg
313,PERTAPIS Education and Welfare Centre,1 Joo Chiat Road #04-1001 Joo Chiat Complex Singapore 420001,1.3157026,103.8988695,67453969,67470845,enquiry@pertapis.org.sg
314,Philippine Bayanihan Society (Singapore),43 Pasir Panjang Road Bayanihan Centre Singapore 118503,1.2735245,103.7980832,64743700,,bayanihancentre@singnet.com.sg
315,PLAYEUM LTD,21 BEDOK NORTH STREET 1 #01-01 Common Ground Singapore 469659,1.3266718,103.9306418,62620750,62620751,share@playeum.com
316,Potter's Place Community Services Society,170 Upper Bukit Timah Road #09-04 Bukit Timah Shopping Centre Singapore 588179,1.3433626,103.7759097,64660293,64660313,admin@pottersplace.org.sg
317,Presbyterian Community Services,105 JALAN BUKIT MERAH #01-1912 TIONG BAHRU ORCHID Singapore 160105,1.2806741,103.8248474,63344445,63387153,info@pcs.org.sg
318,Prison Fellowship Singapore Limited,50 PLAYFAIR ROAD #03-01 NOEL BUILDING Singapore 367995,1.3341916,103.8868527,63842338,,admin@pfs.org.sg
319,PROJECT SMILE LIMITED,26 Norris Road Singapore 208268,1.3080317,103.8538168,93829176,,contact@sgprojectsmile.org
320,Promisedland Community Services,151 Bukit Batok St 11 #04-250 Singapore 650151,1.3487581,103.7442612,6566 9570,6560 3256,andygenj@hotmail.com
321,PROVIDENCE CARE LIMITED,372 JURONG EAST  STREET 32 #01-400 JURONG EAST  COURT Singapore 600372,1.3486548,103.7318185,62581590,,ngmeiling@pcl.org.sg
322,PSALT CARE LIMITED,10 Sinaran Drive #09-22 SQUARE 2 Singapore 307506,1.3208322,103.8441474,63976994,63977301,
323,Pu Ti Lian She,35 Geylang Lorong 14 Singapore 398944,1.3110231,103.8792839,68446803,,
324,Public Free Clinic Society,10 Lorong 9 Geylang Singapore 388758,1.3127444,103.8765304,67489637,67413301,chong_pf@pfcs.org.sg
325,QUANTEDGE FOUNDATION (SINGAPORE) LTD.,20 McCallum Street #15-00 Tokio Marine Centre Singapore 069046,1.2794439,103.847955,65112388,,enquiries@quantedge.org
326,Queenstown Multi-Service Centre,150A Mei Chin Road #01-01 Singapore 140150,1.2954264,103.8036662,64736511,64738915,enquiry@qmsc.org.sg
327,"Rainbow Centre, Singapore",501 Margaret Drive Singapore 149306,1.2974003,103.8090378,64752072,64739739,contactus@rainbowcentre.org.sg
328,"Ramakrishna Mission, The",179 Bartley Road Singapore 539784,1.3443848,103.8802122,62887324,64151425,office@ramakrishna.org.sg
329,REACH Community Services Society,187 Bishan Street 13 #01-475 Singapore 570187,1.3495227,103.851562,62522566,62522445,contact@reach.org.sg
330,Realm of Tranquility,547 Woodlands Drive 16 #01-177 Singapore 730547,1.430215,103.793055,64693843,,email@realmoftranquility.com
331,Red Swastika Charity Foundation,76 Keng Lee Road The World Red Swastika Society Singapore 219251,1.31306,103.84702,62995907,62994714,redswastika@singnet.com
332,Ren Ci Hospital,71 Irrawaddy Road Singapore 329562,1.322866,103.845971,63580777,63580900,renci@renci.org.sg
333,RESILIENCE COLLECTIVE LTD.,176 ORCHARD ROAD #05-05 THE CENTREPOINT Singapore 238843,1.3015383,103.8401372,69322786,,contactus@resilience.org.sg
334,Restroom Association (Singapore),2 Balestier Road #03-679 Singapore 320002,1.3258546,103.8428618,62979824,62979825,info@toilet.org.sg
335,Riding For The Disabled Association Of Singapore,5 Jalan Mashhor RDA Centre Singapore 299174,1.3348038,103.83489,62500176,63542396,mail@rdasingapore.org.sg
336,RiverLife Community Services Limited,6 Loyang Besar Close Singapore 509026,1.3784838,103.957772,63125963,63125879,office@rcs.org.sg
337,Ronald McDonald House Charities Singapore,"5 Lower Kent Ridge Rd, Main Bldg NUH, 4th Level Singapore 119074",1.2941031,103.7834975,67781934,67745358,contact@rmhc.org.sg
338,Rotary Club Of Singapore,1A International Business Park #12-02 Singapore 609933,1.3280686,103.748118,67372504,,rtyinfo@rotary.org.sg
339,RSVP Singapore The Organisation of Senior Volunteers,9 Bishan Place #08-02 Junction 8 (Office Tower) Singapore 579837,1.3506808,103.8487631,6259 0802,6259 0805,general@rsvp.org.sg
340,SAGE Counselling Centre,1 Jurong West Central 2 #06-04 Jurong Point Shopping Centre Singapore 648886,1.3397443,103.7067297,63541191,63541905,recruit@sagecc.org.sg
341,Salem Welfare Services Ltd,1-7 Thomson Hills Drive Singapore 574746,1.3788525,103.8319861,67551770,,salemwell@singnet.com.sg
342,"Salvation Army, The",20 Bishan St 22  The Salvation Army Singapore 579768,1.3609698,103.8425781,65550188,,public.relations@SMM.salvationarmy.org
343,Samaritans Of Singapore,10 Cantonment Close #01-01 (HDB Multi-storey carpark) Singapore 080010,1.2746539,103.8392779,62212122,62207758,samlink@samaritans.org.sg
344,SASCO SENIOR CITIZENS' HOME,"30 Hong San Terrace Evergreen Place, Home @ Hong San Singapore 688246",1.37814,103.7456289,62735183,62727367,alicelau@sasco.org.sg
345,SATA CommHealth,351 Chai Chee Street SATA CommHealth Building Singapore 468982,1.3279741,103.9211413,62446668,62243023,enquiries@sata.com.sg
346,Sathya Sai Social Service (Singapore),2 Buangkok Green Tembusu Home@Pelangi Village Singapore 539749,1.382104,103.887857,64898534,63157843,exedir@4s.org.sg
347,SELF HELP GROUPS STUDENT CARE LIMITED,65 Tanjong Katong Road Block B #03-01 Singapore 436957,1.313525,103.8946983,63949710,,info@shgstudentcare.com.sg
348,Sembawang Family Service Centre,326 Sembawang Crescent #01-52 Singapore 750326,1.4448619,103.8191129,6754 7050,6754 0112,admin@sfsc.org.sg
349,Sembawang Tamils' Association,660 Yishun Avenue 4 #01-305 Singapore 760660,1.4219282,103.8403296,67543621,67544621,
350,Serangoon Moral Family Service Centre,238 Serangoon Ave 2 #01-47 Singapore 550238,1.3536111,103.8688889,62847123,62845221,contact@smfsc.org.sg
351,SG ENABLE LTD.,20 Lengkok Bahru #02-06 Enabling Village Singapore 159053,1.287243,103.814824,65056464,62262366,contactus@sgenable.sg
352,SG Serve Ltd,Block 609 Bedok Reservoir Road #01-690 Singapore 470609,1.3318209,103.9124442,96626462,,joyful@singnet.com.sg
353,Shan You,5 UPPER BOON KENG ROAD #02-15 KALLANG HEIGHTS Singapore 380005,1.3130886,103.8728796,67419293,67419352,info@shanyou.org.sg
354,Shared Services for Charities Limited,15 Lorong 29 Geylang #08-01 PTH Building Singapore 388069,1.3147598,103.8855925,63392811,63390659,contact@sscharities.com
355,SHINE CHILDREN AND YOUTH SERVICES,463 Hougang Ave 10 #01-964 Singapore 530463,1.372381,103.894856,62869905,62866230,scys_hq@shine.org.sg
356,Sian Chay Medical Institution,610 Geylang Road Singapore 389549,1.3141793,103.8884307,67441891,67443082,info@sianchay.org.sg
357,Sikh Sewaks Singapore,2 Towner Road Central Sikh Temple Singapore 327804,1.3189534,103.8602241,82883574,,
358,Sikh Welfare Council,POBox 1468 Towner Road Singapore 913237,1.3200278,103.8585331,6562999234,62941582,info@siwec.org
359,Silver Ribbon (Singapore),208 SERANGOON CENTRAL #01-238 H.O.L.A. Hang On. Lifes Awesome Singapore 550208,1.3540805,103.8736672,63861928,,info@silverribbonsingapore.com
360,Singapore After-Care Association,81 Dunlop Street Singapore 209408,1.3051954,103.8531915,62942350,62950095,enquiries@saca.org.sg
361,"Singapore American Community Action Council, The",27A Jubilee Road c/o International Community School (Singapore) Singapore 128575,1.3068214,103.7660743,67339249,,carol@sacac.com
362,Singapore Anglican Community Services,10 Simei St 3 Singapore 529897,1.34202,103.9491732,65861064,65861096,admin@sacs.org.sg
363,Singapore Anti-Narcotics Association,2 Sengkang Square #05-01 Sengkang Community Hub Singapore 545025,1.3927635,103.8940278,67321122,67324564,sana@sana.org.sg
364,Singapore Art Museum,61 Stamford Road #02-02 Stamford Court Singapore 178892,1.2944822,103.850122,66979771,63347919,partnership@singaporeartmuseum.sg
365,"Singapore Association for Continuing Education, The",111 North Bridge Road #07-05/06 Peninsula Plaza Singapore 179098,1.2923407,103.8508826,65828220,65828221,enquiry@sace.org.sg
366,Singapore Association For Counselling,190 CLEMENCEAU AVENUE #06-01 SINGAPORE SHOPPING CENTRE Singapore 239924,1.2980833,103.8440979,67088292,,admin@sacsingapore.org
367,"Singapore Association for Mental Health, The",139 POTONG PASIR AVENUE 3 #01-136 NIL Singapore 350139,1.3331442,103.8665303,62553222,62526834,samhhq@singnet.com.sg
